POSITION;FUNCTION;PORT
IOB tile[0, 0] coord[0, 17] Output1;PLL_FBDIV[11];
IOB tile[0, 0] coord[0, 18] Output0;PLL_EN;
IOB tile[0, 0] coord[0, 18] Output1;INT_FPGA_SLEEP;
IOB tile[0, 0] coord[0, 19] Output0;PLL_POSTDIV1[0];
IOB tile[0, 0] coord[0, 19] Output1;PLL_POSTDIV1[1];
IOB tile[0, 0] coord[0, 20] Output0;PLL_POSTDIV1[2];
IOB tile[0, 0] coord[0, 20] Output1;PLL_POSTDIV2[0];
IOB tile[0, 0] coord[0, 21] Output0;PLL_POSTDIV2[1];
IOB tile[0, 0] coord[0, 21] Output1;PLL_POSTDIV2[2];
IOB tile[0, 0] coord[0, 22] Output0;GPIO5_OUT [PIN 18];
IOB tile[0, 0] coord[0, 22] Output1;GPIO5_OE [PIN 18];
IOB tile[0, 0] coord[0, 22] Input0;GPIO5_IN [PIN 18];
IOB tile[0, 0] coord[0, 23] Output0;GPIO6_OUT [PIN 19];
IOB tile[0, 0] coord[0, 23] Output1;GPIO6_OE [PIN 19];
IOB tile[0, 0] coord[0, 23] Input0;GPIO6_IN [PIN 19];
IOB tile[0, 0] coord[0, 24] Output0;GPIO7_OUT [PIN 20];
IOB tile[0, 0] coord[0, 24] Output1;GPIO7_OE [PIN 20];
IOB tile[0, 0] coord[0, 24] Input0;GPIO7_IN [PIN 20];
IOB tile[0, 0] coord[0, 25] Output0;OSC_EN;
IOB tile[0, 0] coord[0, 25] Input0;OSC_READY;
IOB tile[0, 0] coord[0, 26] Output0;BRAM0_nWEN;
IOB tile[0, 0] coord[0, 26] Output1;BRAM0_nWCLKEN;
IOB tile[0, 0] coord[0, 27] Output0;BRAM0_nREN;
IOB tile[0, 0] coord[0, 27] Output1;BRAM0_nRCLKEN;
IOB tile[0, 0] coord[0, 28] Output0;BRAM0_RATIO[0];
IOB tile[0, 0] coord[0, 28] Output1;BRAM0_RATIO[1];
IOB tile[0, 0] coord[0, 29] Output0;BRAM0_WCLKINV;
IOB tile[0, 0] coord[0, 29] Output1;BRAM0_RCLKINV;
IOB tile[0, 0] coord[0, 30] Output0;BRAM0_WDATA[7];
IOB tile[0, 0] coord[0, 30] Output1;BRAM0_WDATA[6];
IOB tile[0, 0] coord[0, 30] Input0;BRAM0_RDATA[7];
IOB tile[0, 0] coord[0, 30] Input1;BRAM0_RDATA[6];
IOB tile[0, 0] coord[0, 31] Output0;BRAM0_WDATA[5];
IOB tile[0, 0] coord[0, 31] Output1;BRAM0_WDATA[4];
IOB tile[0, 0] coord[0, 31] Input0;BRAM0_RDATA[5];
IOB tile[0, 0] coord[0, 31] Input1;BRAM0_RDATA[4];
IOB tile[0, 0] coord[1, 0] Output0;BRAM4_WDATA[1];
IOB tile[0, 0] coord[1, 0] Output1;BRAM4_WDATA[0];
IOB tile[0, 0] coord[1, 0] Input0;BRAM4_RDATA[1];
IOB tile[0, 0] coord[1, 0] Input1;BRAM4_RDATA[0];
IOB tile[0, 0] coord[1, 1] Output0;BRAM4_WDATA[3];
IOB tile[0, 0] coord[1, 1] Output1;BRAM4_WDATA[2];
IOB tile[0, 0] coord[1, 1] Input0;BRAM4_RDATA[3];
IOB tile[0, 0] coord[1, 1] Input1;BRAM4_RDATA[2];
IOB tile[0, 0] coord[1, 30] Output0;BRAM0_WDATA[3];
IOB tile[0, 0] coord[1, 30] Output1;BRAM0_WDATA[2];
IOB tile[0, 0] coord[1, 30] Input0;BRAM0_RDATA[3];
IOB tile[0, 0] coord[1, 30] Input1;BRAM0_RDATA[2];
IOB tile[0, 0] coord[1, 31] Output0;BRAM0_WDATA[1];
IOB tile[0, 0] coord[1, 31] Output1;BRAM0_WDATA[0];
IOB tile[0, 0] coord[1, 31] Input0;BRAM0_RDATA[1];
IOB tile[0, 0] coord[1, 31] Input1;BRAM0_RDATA[0];
IOB tile[0, 0] coord[2, 0] Output0;BRAM4_WADDR[6];
IOB tile[0, 0] coord[2, 0] Output1;BRAM4_WADDR[5];
IOB tile[0, 0] coord[2, 1] Output0;BRAM4_WADDR[8];
IOB tile[0, 0] coord[2, 1] Output1;BRAM4_WADDR[7];
IOB tile[0, 0] coord[2, 30] Output0;BRAM0_WADDR[8];
IOB tile[0, 0] coord[2, 30] Output1;BRAM0_WADDR[7];
IOB tile[0, 0] coord[2, 31] Output0;BRAM0_WADDR[6];
IOB tile[0, 0] coord[2, 31] Output1;BRAM0_WADDR[5];
IOB tile[0, 0] coord[3, 0] Output0;BRAM4_WADDR[2];
IOB tile[0, 0] coord[3, 0] Output1;BRAM4_WADDR[1];
IOB tile[0, 0] coord[3, 1] Output0;BRAM4_WADDR[4];
IOB tile[0, 0] coord[3, 1] Output1;BRAM4_WADDR[3];
IOB tile[0, 0] coord[3, 30] Output0;BRAM0_WADDR[4];
IOB tile[0, 0] coord[3, 30] Output1;BRAM0_WADDR[3];
IOB tile[0, 0] coord[3, 31] Output0;BRAM0_WADDR[2];
IOB tile[0, 0] coord[3, 31] Output1;BRAM0_WADDR[1];
IOB tile[0, 0] coord[4, 0] Output0;BRAM4_RADDR[7];
IOB tile[0, 0] coord[4, 0] Output1;BRAM4_RADDR[6];
IOB tile[0, 0] coord[4, 1] Output0;BRAM4_WADDR[0];
IOB tile[0, 0] coord[4, 1] Output1;BRAM4_RADDR[8];
IOB tile[0, 0] coord[4, 30] Output0;BRAM0_WADDR[0];
IOB tile[0, 0] coord[4, 30] Output1;BRAM0_RADDR[8];
IOB tile[0, 0] coord[4, 31] Output0;BRAM0_RADDR[7];
IOB tile[0, 0] coord[4, 31] Output1;BRAM0_RADDR[6];
IOB tile[0, 0] coord[5, 0] Output0;BRAM4_RADDR[3];
IOB tile[0, 0] coord[5, 0] Output1;BRAM4_RADDR[2];
IOB tile[0, 0] coord[5, 1] Output0;BRAM4_RADDR[5];
IOB tile[0, 0] coord[5, 1] Output1;BRAM4_RADDR[4];
IOB tile[0, 0] coord[5, 30] Output0;BRAM0_RADDR[5];
IOB tile[0, 0] coord[5, 30] Output1;BRAM0_RADDR[4];
IOB tile[0, 0] coord[5, 31] Output0;BRAM0_RADDR[3];
IOB tile[0, 0] coord[5, 31] Output1;BRAM0_RADDR[2];
IOB tile[0, 0] coord[6, 0] Input0;BRAM5_RDATA[7];
IOB tile[0, 0] coord[6, 0] Input1;BRAM5_RDATA[6];
IOB tile[0, 0] coord[6, 1] Output0;BRAM4_RADDR[1];
IOB tile[0, 0] coord[6, 1] Output1;BRAM4_RADDR[0];
IOB tile[0, 0] coord[6, 30] Output0;BRAM0_RADDR[1];
IOB tile[0, 0] coord[6, 30] Output1;BRAM0_RADDR[0];
IOB tile[0, 0] coord[6, 31] Input0;BRAM1_RDATA[7];
IOB tile[0, 0] coord[6, 31] Input1;BRAM1_RDATA[6];
IOB tile[0, 0] coord[7, 0] Output0;BRAM5_nREN;
IOB tile[0, 0] coord[7, 0] Output1;BRAM5_nRCLKEN;
IOB tile[0, 0] coord[7, 0] Input0;BRAM5_RDATA[5];
IOB tile[0, 0] coord[7, 0] Input1;BRAM5_RDATA[4];
IOB tile[0, 0] coord[7, 1] Output0;BRAM5_nWEN;
IOB tile[0, 0] coord[7, 1] Output1;BRAM5_nWCLKEN;
IOB tile[0, 0] coord[7, 30] Output0;BRAM1_nWEN;
IOB tile[0, 0] coord[7, 30] Output1;BRAM1_nWCLKEN;
IOB tile[0, 0] coord[7, 31] Output0;BRAM1_nREN;
IOB tile[0, 0] coord[7, 31] Output1;BRAM1_nRCLKEN;
IOB tile[0, 0] coord[7, 31] Input0;BRAM1_RDATA[5];
IOB tile[0, 0] coord[7, 31] Input1;BRAM1_RDATA[4];
IOB tile[0, 0] coord[8, 0] Output0;BRAM5_WCLKINV;
IOB tile[0, 0] coord[8, 0] Output1;BRAM5_RCLKINV;
IOB tile[0, 0] coord[8, 0] Input0;BRAM5_RDATA[1];
IOB tile[0, 0] coord[8, 0] Input1;BRAM5_RDATA[0];
IOB tile[0, 0] coord[8, 1] Output0;BRAM5_RATIO[1];
IOB tile[0, 0] coord[8, 1] Output1;BRAM5_RATIO[0];
IOB tile[0, 0] coord[8, 1] Input0;BRAM5_RDATA[3];
IOB tile[0, 0] coord[8, 1] Input1;BRAM5_RDATA[2];
IOB tile[0, 0] coord[8, 30] Output0;BRAM1_RATIO[1];
IOB tile[0, 0] coord[8, 30] Output1;BRAM1_RATIO[0];
IOB tile[0, 0] coord[8, 30] Input0;BRAM1_RDATA[3];
IOB tile[0, 0] coord[8, 30] Input1;BRAM1_RDATA[2];
IOB tile[0, 0] coord[8, 31] Output0;BRAM1_WCLKINV;
IOB tile[0, 0] coord[8, 31] Output1;BRAM1_RCLKINV;
IOB tile[0, 0] coord[8, 31] Input0;BRAM1_RDATA[1];
IOB tile[0, 0] coord[8, 31] Input1;BRAM1_RDATA[0];
IOB tile[0, 0] coord[9, 0] Output0;BRAM5_WDATA[5];
IOB tile[0, 0] coord[9, 0] Output1;BRAM5_WDATA[4];
IOB tile[0, 0] coord[9, 1] Output0;BRAM5_WDATA[7];
IOB tile[0, 0] coord[9, 1] Output1;BRAM5_WDATA[6];
IOB tile[0, 0] coord[9, 30] Output0;BRAM1_WDATA[7];
IOB tile[0, 0] coord[9, 30] Output1;BRAM1_WDATA[6];
IOB tile[0, 0] coord[9, 31] Output0;BRAM1_WDATA[5];
IOB tile[0, 0] coord[9, 31] Output1;BRAM1_WDATA[4];
IOB tile[0, 0] coord[10, 0] Output0;BRAM5_WDATA[1];
IOB tile[0, 0] coord[10, 0] Output1;BRAM5_WDATA[0];
IOB tile[0, 0] coord[10, 1] Output0;BRAM5_WDATA[3];
IOB tile[0, 0] coord[10, 1] Output1;BRAM5_WDATA[2];
IOB tile[0, 0] coord[10, 30] Output0;BRAM1_WDATA[3];
IOB tile[0, 0] coord[10, 30] Output1;BRAM1_WDATA[2];
IOB tile[0, 0] coord[10, 31] Output0;BRAM1_WDATA[1];
IOB tile[0, 0] coord[10, 31] Output1;BRAM1_WDATA[0];
IOB tile[0, 0] coord[11, 0] Output0;BRAM5_WADDR[6];
IOB tile[0, 0] coord[11, 0] Output1;BRAM5_WADDR[5];
IOB tile[0, 0] coord[11, 1] Output0;BRAM5_WADDR[8];
IOB tile[0, 0] coord[11, 1] Output1;BRAM5_WADDR[7];
IOB tile[0, 0] coord[11, 30] Output0;BRAM1_WADDR[8];
IOB tile[0, 0] coord[11, 30] Output1;BRAM1_WADDR[7];
IOB tile[0, 0] coord[11, 31] Output0;BRAM1_WADDR[6];
IOB tile[0, 0] coord[11, 31] Output1;BRAM1_WADDR[5];
IOB tile[0, 0] coord[12, 0] Output0;BRAM5_WADDR[2];
IOB tile[0, 0] coord[12, 0] Output1;BRAM5_WADDR[1];
IOB tile[0, 0] coord[12, 1] Output0;BRAM5_WADDR[4];
IOB tile[0, 0] coord[12, 1] Output1;BRAM5_WADDR[3];
IOB tile[0, 0] coord[12, 30] Output0;BRAM1_WADDR[4];
IOB tile[0, 0] coord[12, 30] Output1;BRAM1_WADDR[3];
IOB tile[0, 0] coord[12, 31] Output0;BRAM1_WADDR[2];
IOB tile[0, 0] coord[12, 31] Output1;BRAM1_WADDR[1];
IOB tile[0, 0] coord[13, 0] Output0;BRAM5_RADDR[7];
IOB tile[0, 0] coord[13, 0] Output1;BRAM5_RADDR[6];
IOB tile[0, 0] coord[13, 0] Input0;BRAM6_RDATA[7];
IOB tile[0, 0] coord[13, 0] Input1;BRAM6_RDATA[6];
IOB tile[0, 0] coord[13, 1] Output0;BRAM5_WADDR[0];
IOB tile[0, 0] coord[13, 1] Output1;BRAM5_RADDR[8];
IOB tile[0, 0] coord[13, 30] Output0;BRAM1_WADDR[0];
IOB tile[0, 0] coord[13, 30] Output1;BRAM1_RADDR[8];
IOB tile[0, 0] coord[13, 31] Output0;BRAM1_RADDR[7];
IOB tile[0, 0] coord[13, 31] Output1;BRAM1_RADDR[6];
IOB tile[0, 0] coord[13, 31] Input0;BRAM2_RDATA[7];
IOB tile[0, 0] coord[13, 31] Input1;BRAM2_RDATA[6];
IOB tile[0, 0] coord[14, 0] Output0;BRAM5_RADDR[3];
IOB tile[0, 0] coord[14, 0] Output1;BRAM5_RADDR[2];
IOB tile[0, 0] coord[14, 0] Input0;BRAM6_RDATA[3];
IOB tile[0, 0] coord[14, 0] Input1;BRAM6_RDATA[2];
IOB tile[0, 0] coord[14, 1] Output0;BRAM5_RADDR[5];
IOB tile[0, 0] coord[14, 1] Output1;BRAM5_RADDR[4];
IOB tile[0, 0] coord[14, 1] Input0;BRAM6_RDATA[5];
IOB tile[0, 0] coord[14, 1] Input1;BRAM6_RDATA[4];
IOB tile[0, 0] coord[14, 30] Output0;BRAM1_RADDR[5];
IOB tile[0, 0] coord[14, 30] Output1;BRAM1_RADDR[4];
IOB tile[0, 0] coord[14, 30] Input0;BRAM2_RDATA[5];
IOB tile[0, 0] coord[14, 30] Input1;BRAM2_RDATA[4];
IOB tile[0, 0] coord[14, 31] Output0;BRAM1_RADDR[3];
IOB tile[0, 0] coord[14, 31] Output1;BRAM1_RADDR[2];
IOB tile[0, 0] coord[14, 31] Input0;BRAM2_RDATA[3];
IOB tile[0, 0] coord[14, 31] Input1;BRAM2_RDATA[2];
IOB tile[0, 0] coord[15, 0] Output0;BRAM6_nWEN;
IOB tile[0, 0] coord[15, 0] Output1;BRAM6_nWCLKEN;
IOB tile[0, 0] coord[15, 1] Output0;BRAM5_RADDR[1];
IOB tile[0, 0] coord[15, 1] Output1;BRAM5_RADDR[0];
IOB tile[0, 0] coord[15, 1] Input0;BRAM6_RDATA[1];
IOB tile[0, 0] coord[15, 1] Input1;BRAM6_RDATA[0];
IOB tile[0, 0] coord[15, 30] Output0;BRAM1_RADDR[1];
IOB tile[0, 0] coord[15, 30] Output1;BRAM1_RADDR[0];
IOB tile[0, 0] coord[15, 30] Input0;BRAM2_RDATA[1];
IOB tile[0, 0] coord[15, 30] Input1;BRAM2_RDATA[0];
IOB tile[0, 0] coord[15, 31] Output0;BRAM2_nWEN;
IOB tile[0, 0] coord[15, 31] Output1;BRAM2_nWCLKEN;
IOB tile[0, 0] coord[16, 0] Output0;BRAM6_RATIO[1];
IOB tile[0, 0] coord[16, 0] Output1;BRAM6_RATIO[0];
IOB tile[0, 0] coord[16, 1] Output0;BRAM6_nREN;
IOB tile[0, 0] coord[16, 1] Output1;BRAM6_nRCLKEN;
IOB tile[0, 0] coord[16, 30] Output0;BRAM2_nREN;
IOB tile[0, 0] coord[16, 30] Output1;BRAM2_nRCLKEN;
IOB tile[0, 0] coord[16, 31] Output0;BRAM2_RATIO[1];
IOB tile[0, 0] coord[16, 31] Output1;BRAM2_RATIO[0];
IOB tile[0, 0] coord[17, 0] Output0;BRAM6_WDATA[7];
IOB tile[0, 0] coord[17, 0] Output1;BRAM6_WDATA[6];
IOB tile[0, 0] coord[17, 1] Output0;BRAM6_WCLKINV;
IOB tile[0, 0] coord[17, 1] Output1;BRAM6_RCLKINV;
IOB tile[0, 0] coord[17, 30] Output0;BRAM2_WCLKINV;
IOB tile[0, 0] coord[17, 30] Output1;BRAM2_RCLKINV;
IOB tile[0, 0] coord[17, 31] Output0;BRAM2_WDATA[7];
IOB tile[0, 0] coord[17, 31] Output1;BRAM2_WDATA[6];
IOB tile[0, 0] coord[18, 0] Output0;BRAM6_WDATA[3];
IOB tile[0, 0] coord[18, 0] Output1;BRAM6_WDATA[2];
IOB tile[0, 0] coord[18, 1] Output0;BRAM6_WDATA[5];
IOB tile[0, 0] coord[18, 1] Output1;BRAM6_WDATA[4];
IOB tile[0, 0] coord[18, 30] Output0;BRAM2_WDATA[5];
IOB tile[0, 0] coord[18, 30] Output1;BRAM2_WDATA[4];
IOB tile[0, 0] coord[18, 31] Output0;BRAM2_WDATA[3];
IOB tile[0, 0] coord[18, 31] Output1;BRAM2_WDATA[2];
IOB tile[0, 0] coord[19, 0] Output0;BRAM6_WADDR[8];
IOB tile[0, 0] coord[19, 0] Output1;BRAM6_WADDR[7];
IOB tile[0, 0] coord[19, 1] Output0;BRAM6_WDATA[1];
IOB tile[0, 0] coord[19, 1] Output1;BRAM6_WDATA[0];
IOB tile[0, 0] coord[19, 30] Output0;BRAM2_WDATA[1];
IOB tile[0, 0] coord[19, 30] Output1;BRAM2_WDATA[0];
IOB tile[0, 0] coord[19, 31] Output0;BRAM2_WADDR[8];
IOB tile[0, 0] coord[19, 31] Output1;BRAM2_WADDR[7];
IOB tile[0, 0] coord[20, 0] Output0;BRAM6_WADDR[4];
IOB tile[0, 0] coord[20, 0] Output1;BRAM6_WADDR[3];
IOB tile[0, 0] coord[20, 0] Input0;BRAM7_RDATA[7];
IOB tile[0, 0] coord[20, 0] Input1;BRAM7_RDATA[6];
IOB tile[0, 0] coord[20, 1] Output0;BRAM6_WADDR[6];
IOB tile[0, 0] coord[20, 1] Output1;BRAM6_WADDR[5];
IOB tile[0, 0] coord[20, 30] Output0;BRAM2_WADDR[6];
IOB tile[0, 0] coord[20, 30] Output1;BRAM2_WADDR[5];
IOB tile[0, 0] coord[20, 31] Output0;BRAM2_WADDR[4];
IOB tile[0, 0] coord[20, 31] Output1;BRAM2_WADDR[3];
IOB tile[0, 0] coord[20, 31] Input0;BRAM3_RDATA[7];
IOB tile[0, 0] coord[20, 31] Input1;BRAM3_RDATA[6];
IOB tile[0, 0] coord[21, 0] Output0;BRAM6_WADDR[0];
IOB tile[0, 0] coord[21, 0] Output1;BRAM6_RADDR[8];
IOB tile[0, 0] coord[21, 0] Input0;BRAM7_RDATA[3];
IOB tile[0, 0] coord[21, 0] Input1;BRAM7_RDATA[2];
IOB tile[0, 0] coord[21, 1] Output0;BRAM6_WADDR[2];
IOB tile[0, 0] coord[21, 1] Output1;BRAM6_WADDR[1];
IOB tile[0, 0] coord[21, 1] Input0;BRAM7_RDATA[5];
IOB tile[0, 0] coord[21, 1] Input1;BRAM7_RDATA[4];
IOB tile[0, 0] coord[21, 30] Output0;BRAM2_WADDR[2];
IOB tile[0, 0] coord[21, 30] Output1;BRAM2_WADDR[1];
IOB tile[0, 0] coord[21, 30] Input0;BRAM3_RDATA[5];
IOB tile[0, 0] coord[21, 30] Input1;BRAM3_RDATA[4];
IOB tile[0, 0] coord[21, 31] Output0;BRAM2_WADDR[0];
IOB tile[0, 0] coord[21, 31] Output1;BRAM2_RADDR[8];
IOB tile[0, 0] coord[21, 31] Input0;BRAM3_RDATA[3];
IOB tile[0, 0] coord[21, 31] Input1;BRAM3_RDATA[2];
IOB tile[0, 0] coord[22, 0] Output0;BRAM6_RADDR[5];
IOB tile[0, 0] coord[22, 0] Output1;BRAM6_RADDR[4];
IOB tile[0, 0] coord[22, 1] Output0;BRAM6_RADDR[7];
IOB tile[0, 0] coord[22, 1] Output1;BRAM6_RADDR[6];
IOB tile[0, 0] coord[22, 1] Input0;BRAM7_RDATA[1];
IOB tile[0, 0] coord[22, 1] Input1;BRAM7_RDATA[0];
IOB tile[0, 0] coord[22, 30] Output0;BRAM2_RADDR[7];
IOB tile[0, 0] coord[22, 30] Output1;BRAM2_RADDR[6];
IOB tile[0, 0] coord[22, 30] Input0;BRAM3_RDATA[1];
IOB tile[0, 0] coord[22, 30] Input1;BRAM3_RDATA[0];
IOB tile[0, 0] coord[22, 31] Output0;BRAM2_RADDR[5];
IOB tile[0, 0] coord[22, 31] Output1;BRAM2_RADDR[4];
IOB tile[0, 0] coord[23, 0] Output0;BRAM6_RADDR[1];
IOB tile[0, 0] coord[23, 0] Output1;BRAM6_RADDR[0];
IOB tile[0, 0] coord[23, 1] Output0;BRAM6_RADDR[3];
IOB tile[0, 0] coord[23, 1] Output1;BRAM6_RADDR[2];
IOB tile[0, 0] coord[23, 30] Output0;BRAM2_RADDR[3];
IOB tile[0, 0] coord[23, 30] Output1;BRAM2_RADDR[2];
IOB tile[0, 0] coord[23, 31] Output0;BRAM2_RADDR[1];
IOB tile[0, 0] coord[23, 31] Output1;BRAM2_RADDR[0];
IOB tile[0, 0] coord[24, 0] Output0;BRAM7_nWEN;
IOB tile[0, 0] coord[24, 0] Output1;BRAM7_nWCLKEN;
IOB tile[0, 0] coord[24, 31] Output0;BRAM3_nWEN;
IOB tile[0, 0] coord[24, 31] Output1;BRAM3_nWCLKEN;
IOB tile[0, 0] coord[25, 0] Output0;BRAM7_RATIO[1];
IOB tile[0, 0] coord[25, 0] Output1;BRAM7_RATIO[0];
IOB tile[0, 0] coord[25, 1] Output0;BRAM7_nREN;
IOB tile[0, 0] coord[25, 1] Output1;BRAM7_nRCLKEN;
IOB tile[0, 0] coord[25, 30] Output0;BRAM3_nREN;
IOB tile[0, 0] coord[25, 30] Output1;BRAM3_nRCLKEN;
IOB tile[0, 0] coord[25, 31] Output0;BRAM3_RATIO[1];
IOB tile[0, 0] coord[25, 31] Output1;BRAM3_RATIO[0];
IOB tile[0, 0] coord[26, 0] Output0;BRAM7_WDATA[7];
IOB tile[0, 0] coord[26, 0] Output1;BRAM7_WDATA[6];
IOB tile[0, 0] coord[26, 1] Output0;BRAM7_WCLKINV;
IOB tile[0, 0] coord[26, 1] Output1;BRAM7_RCLKINV;
IOB tile[0, 0] coord[26, 30] Output0;BRAM3_WCLKINV;
IOB tile[0, 0] coord[26, 30] Output1;BRAM3_RCLKINV;
IOB tile[0, 0] coord[26, 31] Output0;BRAM3_WDATA[7];
IOB tile[0, 0] coord[26, 31] Output1;BRAM3_WDATA[6];
IOB tile[0, 0] coord[27, 0] Output0;BRAM7_WDATA[3];
IOB tile[0, 0] coord[27, 0] Output1;BRAM7_WDATA[2];
IOB tile[0, 0] coord[27, 1] Output0;BRAM7_WDATA[5];
IOB tile[0, 0] coord[27, 1] Output1;BRAM7_WDATA[4];
IOB tile[0, 0] coord[27, 30] Output0;BRAM3_WDATA[5];
IOB tile[0, 0] coord[27, 30] Output1;BRAM3_WDATA[4];
IOB tile[0, 0] coord[27, 31] Output0;BRAM3_WDATA[3];
IOB tile[0, 0] coord[27, 31] Output1;BRAM3_WDATA[2];
IOB tile[0, 0] coord[28, 0] Output0;BRAM7_WADDR[8];
IOB tile[0, 0] coord[28, 0] Output1;BRAM7_WADDR[7];
IOB tile[0, 0] coord[28, 1] Output0;BRAM7_WDATA[1];
IOB tile[0, 0] coord[28, 1] Output1;BRAM7_WDATA[0];
IOB tile[0, 0] coord[28, 30] Output0;BRAM3_WDATA[1];
IOB tile[0, 0] coord[28, 30] Output1;BRAM3_WDATA[0];
IOB tile[0, 0] coord[28, 31] Output0;BRAM3_WADDR[8];
IOB tile[0, 0] coord[28, 31] Output1;BRAM3_WADDR[7];
IOB tile[0, 0] coord[29, 0] Output0;BRAM7_WADDR[4];
IOB tile[0, 0] coord[29, 0] Output1;BRAM7_WADDR[3];
IOB tile[0, 0] coord[29, 1] Output0;BRAM7_WADDR[6];
IOB tile[0, 0] coord[29, 1] Output1;BRAM7_WADDR[5];
IOB tile[0, 0] coord[29, 30] Output0;BRAM3_WADDR[6];
IOB tile[0, 0] coord[29, 30] Output1;BRAM3_WADDR[5];
IOB tile[0, 0] coord[29, 31] Output0;BRAM3_WADDR[4];
IOB tile[0, 0] coord[29, 31] Output1;BRAM3_WADDR[3];
IOB tile[0, 0] coord[30, 0] Output0;BRAM7_WADDR[0];
IOB tile[0, 0] coord[30, 0] Output1;BRAM7_RADDR[8];
IOB tile[0, 0] coord[30, 1] Output0;BRAM7_WADDR[2];
IOB tile[0, 0] coord[30, 1] Output1;BRAM7_WADDR[1];
IOB tile[0, 0] coord[30, 30] Output0;BRAM3_WADDR[2];
IOB tile[0, 0] coord[30, 30] Output1;BRAM3_WADDR[1];
IOB tile[0, 0] coord[30, 31] Output0;BRAM3_WADDR[0];
